date, pm25, pm10, o3, no2, so2, co
2024/11/1, 184, 82, 10, 13, , 9
2024/11/2, 179, 40, 31, 8, , 6
2024/11/3, 129, 9, 19, 5, , 2
2024/11/4, 20, 37, 11, 14, , 4
2024/11/5, 69, 51, 12, 19, 1, 5
2024/11/6, 114, 76, 7, 25, 1, 8
2024/11/7, 159, 92, 16, 23, , 8
2024/11/8, 179, 93, 18, 20, , 9
2024/11/9, 184, 81, 25, 17, , 6
2024/11/10, 161, 68, 5, 18, , 8
2024/11/11, 151, 97, 19, 14, , 7
2024/11/12, 156, 74, 7, 18, , 9
2024/11/13, 125, 40, 19, 11, , 7
2024/11/14, 106, , , , , 
2024/10/1, 15, 12, 24, 7, , 1
2024/10/2, 27, 24, 34, 9, , 2
2024/10/3, 58, 53, 49, 13, 1, 4
2024/10/4, 119, 63, 54, 13, , 5
2024/10/5, 148, 66, 30, 17, , 6
2024/10/6, 151, 19, 27, 7, 1, 2
2024/10/7, 52, 21, 29, 11, , 3
2024/10/8, 50, 71, 14, 23, , 6
2024/10/9, 141, 16, 28, 9, , 2
2024/10/10, 41, 46, 24, 17, , 3
2024/10/11, 93, 73, 41, 18, 2, 6
2024/10/12, 143, 83, 25, 12, 1, 13
2024/10/13, 167, 76, 36, 10, , 11
2024/10/14, 169, 29, 26, 8, , 4
2024/10/15, 77, 40, 20, 15, , 4
2024/10/16, 68, 55, 16, 20, , 6
2024/10/17, 99, 34, 26, 10, , 4
2024/10/18, 87, 8, 23, 4, , 1
2024/10/19, 19, 26, 16, 12, 1, 3
2024/10/20, 57, 42, 14, 12, , 5
2024/10/21, 110, 19, 23, 9, , 2
2024/10/22, 49, 36, 14, 16, , 4
2024/10/23, 80, 54, 22, 17, , 5
2024/10/24, 135, 99, 24, 19, , 8
2024/10/25, 188, 118, 17, 19, , 10
2024/10/26, 220, 20, 23, 9, 1, 3
2024/10/27, 40, 38, 25, 14, 1, 3
2024/10/28, 79, 74, 22, 21, , 6
2024/10/29, 160, 83, 21, 19, 1, 8
2024/10/30, 172, 90, 10, 24, , 8
2024/10/31, 176, 92, 31, 13, , 8
2024/7/1, 51, 79, 33, 8, , 3
2024/7/2, 77, 33, 41, 5, , 3
2024/7/3, 78, 52, 82, 10, , 6
2024/7/4, 125, 70, 23, 9, , 6
2024/7/5, 158, 26, 77, 6, , 3
2024/7/6, 67, 29, 90, 8, , 5
2024/7/7, 68, 28, 62, 7, , 4
2024/7/8, 73, 52, 93, 8, , 6
2024/7/9, 129, 59, 102, 9, , 6
2024/7/10, 145, 63, 109, 9, , 7
2024/7/11, 146, 45, 56, 10, , 6
2024/7/12, 101, 41, 70, 6, , 6
